Date,Adj Close,Close,High,Low,Open,Volume
2024-07-17 00:00:00+00:00,0.3086529291600526,0.3086528480892543,0.27299180749423496,0.25847690982127275,0.3023198654692922,6.820541013153279
2024-07-18 00:00:00+00:00,0.3177764632600894,0.3177763764178433,0.2743447189068924,0.26831380859793436,0.3022270998178202,6.8294666871838245
2024-07-19 00:00:00+00:00,0.3178660363080721,0.31786594945400004,0.281130292075903,0.26792991539786415,0.31417253688625707,6.87584210403734
2024-07-22 00:00:00+00:00,0.3165021006762186,0.3165020271753236,0.2804077888764515,0.26732269879345016,0.31434885776431915,6.828192536358437
2024-07-23 00:00:00+00:00,0.3156790675356672,0.31567900391163317,0.2814267978785634,0.2676290902480714,0.31669149470023744,6.808212074202672
2024-07-24 00:00:00+00:00,0.32331905003081934,0.3233190057088546,0.2843296422178429,0.2781377068077254,0.3165458127978904,6.691969328172487
2024-07-25 00:00:00+00:00,0.2563968405813991,0.25639680234956863,0.2581757858116377,0.28157131077440517,0.3206311248490755,6.470448287960956
2024-07-26 00:00:00+00:00,0.24375913507666327,0.2437591350599656,0.1891765187723917,0.20974641015170162,0.2561988677166723,6.465663864289217
2024-07-29 00:00:00+00:00,0.24335626684305459,0.2433562623183245,0.18327763467326946,0.20012577943704082,0.23745118411079943,6.169506529332771
2024-07-30 00:00:00+00:00,0.24196250307247574,0.2419624874129817,0.18219030915976794,0.2000506509528144,0.23873895356057884,6.120992676287737
2024-07-31 00:00:00+00:00,0.23925716961955765,0.23925715632361758,0.1809049620151668,0.20760139383849563,0.24007445197390231,6.082140109352835
2024-08-01 00:00:00+00:00,0.24235756498714225,0.24235756750407272,0.18089102915285382,0.21385326298805873,0.23649656415237438,6.107291863681589
2024-08-02 00:00:00+00:00,0.2334225906960205,0.23342255492236363,0.16967706871188468,0.2050803148907769,0.24155667713488088,6.296292346402519
2024-08-05 00:00:00+00:00,0.2744712471486838,0.2744712840317395,0.2343016731508411,0.37008454615881986,0.3678297750550677,5.481341682822075
2024-08-06 00:00:00+00:00,0.27586032747940353,0.2758603459420257,0.23901381758531903,0.37847488393241224,0.3780507791571339,4.680074574672858
2024-08-07 00:00:00+00:00,0.277972407636229,0.2779724236651721,0.24369276542853457,0.3853905001641687,0.3782102306041669,4.5712826476095
2024-08-08 00:00:00+00:00,0.2761010303215878,0.2761010178319504,0.23907886900286415,0.38590519546154517,0.38674922312518356,4.629132965174749
2024-08-09 00:00:00+00:00,0.27871655774870674,0.27871654893727354,0.24136120899153216,0.3876994473959728,0.38444461432533666,4.5665904616237025
